UserID,CreditLimit,Phone
1001,10000,***-***-8078
1002,10000,***-***-1339
1003,250000,***-***-3870
1004,25000,***-***-9056
1005,50000,***-***-2713
1006,100000,***-***-7561
1007,10000,***-***-6296
1008,10000,***-***-9889
1009,50000,***-***-9167
1010,50000,***-***-5719
1011,10000,***-***-4920
1012,250000,***-***-4681
1013,10000,***-***-3522
1014,50000,***-***-8905
1015,25000,***-***-9327
1016,50000,***-***-7798
1017,10000,***-***-5891
1018,100000,***-***-9824
1019,100000,***-***-4090
1020,25000,***-***-6213
1021,100000,***-***-3492
1022,250000,***-***-2644
1023,100000,***-***-3361
1024,10000,***-***-5342
1025,10000,***-***-9742
1026,100000,***-***-2121
1027,25000,***-***-8110
1028,10000,***-***-5906
1029,50000,***-***-8056
1030,25000,***-***-2293
1031,25000,***-***-3344
1032,50000,***-***-8622
1033,10000,***-***-5901
1034,100000,***-***-7302
1035,250000,***-***-5847
1036,100000,***-***-1803
1037,25000,***-***-6772
1038,25000,***-***-1645
1039,50000,***-***-2476
1040,25000,***-***-9837
1041,50000,***-***-8894
1042,10000,***-***-3306
1043,100000,***-***-2479
1044,10000,***-***-5295
1045,10000,***-***-8724
1046,50000,***-***-2035
1047,50000,***-***-2911
1048,100000,***-***-4846
1049,50000,***-***-9850
1050,100000,***-***-9017
1051,10000,***-***-4559
1052,10000,***-***-9920
1053,100000,***-***-3001
1054,25000,***-***-1349
1055,250000,***-***-4394
1056,50000,***-***-1046
1057,250000,***-***-3858
1058,10000,***-***-4898
1059,10000,***-***-7897
1060,100000,***-***-2786
