OrderID,CustomerName,CustomerCity,RegionName,ShipToCity,BillToCity,OrderDate,OrderChannel,Status,Priority,OrderTotal,OrderNotes,GiftMessage
ORD00001,Quantum Distribution,Berlin,Europe,Madrid,Los Angeles,2026-09-12 09:55:16,10,Delivered,Express,9620.18,"Fragile items on this order, add extra padding and mark the box clearly.",
ORD00002,Meridian Partners,Tokyo,Asia Pacific,Mexico City,Paris,2026-06-13 08:18:05,20,Delivered,Express,2576.55,,
ORD00003,Horizon Logistics,Mexico City,Latin America,Chicago,Tokyo,2026-03-24 08:58:14,30,Shipped,Express,6742.06,"VIP account, expedite handling and notify the account manager once it ships.",
ORD00004,Catalyst Industries,Singapore,Asia Pacific,Amsterdam,Mumbai,2026-02-10 15:23:15,40,Delivered,Standard,4547.12,"Partial backorder is possible, keep the customer updated on remaining stock.",
ORD00006,Quantum Supply,Amsterdam,Europe,Toronto,Cairo,2026-04-29 18:53:08,20,Delivered,Express,1790.46,Customer requested delivery before noon; confirm the slot by phone the day before.,
ORD00009,Zenith Group,Chicago,North America,Los Angeles,Madrid,2026-07-03 07:40:32,10,Delivered,Standard,7048.97,"VIP account, expedite handling and notify the account manager once it ships.",
ORD00011,Momentum Group,Berlin,Europe,Riyadh,Sao Paulo,2026-07-12 15:50:32,30,Delivered,Express,13372.2,,
ORD00012,Pinnacle Trading,Paris,Europe,London,Dubai,2026-01-18 11:47:01,40,Delivered,Standard,4298.35,Customer requested delivery before noon; confirm the slot by phone the day before.,
ORD00013,Catalyst Partners,Istanbul,Middle East,Sydney,Istanbul,2026-10-06 08:49:37,10,Delivered,Express,6035.71,"Fragile items on this order, add extra padding and mark the box clearly.",
ORD00015,Cascade Commerce,Amsterdam,Europe,Berlin,Berlin,2026-04-14 07:18:12,30,Delivered,Standard,11119.3,"VIP account, expedite handling and notify the account manager once it ships.",
ORD00016,Meridian Supply,Buenos Aires,Latin America,Mumbai,Amsterdam,2026-02-12 15:30:16,40,Delivered,Standard,2307.97,"Partial backorder is possible, keep the customer updated on remaining stock.",
ORD00018,Apex Commerce,Mumbai,Asia Pacific,Paris,Mexico City,2026-05-24 18:31:23,20,Processing,Express,9988.67,Customer requested delivery before noon; confirm the slot by phone the day before.,
ORD00022,Catalyst Partners,Istanbul,Middle East,Mexico City,Paris,2026-10-15 13:23:32,20,Shipped,Standard,7450.5,"Partial backorder is possible, keep the customer updated on remaining stock.",
ORD00023,Pioneer Partners,Buenos Aires,Latin America,Chicago,Tokyo,2026-09-15 17:50:28,30,Delivered,Standard,2849.56,,
ORD00024,Pinnacle Trading,Paris,Europe,Amsterdam,Mumbai,2026-08-04 07:38:09,40,Delivered,Express,6701.82,Customer requested delivery before noon; confirm the slot by phone the day before.,
ORD00027,Meridian Partners,Tokyo,Asia Pacific,Tokyo,Chicago,2026-04-02 10:39:18,30,Delivered,Express,6978.88,"VIP account, expedite handling and notify the account manager once it ships.",
ORD00029,Cascade Commerce,Amsterdam,Europe,Los Angeles,Madrid,2026-07-18 15:18:57,10,Delivered,Standard,5318.76,,
ORD00031,Keystone Commerce,Mumbai,Asia Pacific,Riyadh,Sao Paulo,2026-01-13 14:51:35,30,Delivered,Standard,7843.9,"Fragile items on this order, add extra padding and mark the box clearly.",
ORD00032,Meridian Partners,Tokyo,Asia Pacific,London,Dubai,2026-05-06 15:26:49,40,Delivered,Standard,12442.12,,
ORD00033,Cascade Commerce,Amsterdam,Europe,Sydney,Istanbul,2026-04-06 14:43:33,10,Delivered,Standard,5818.72,"VIP account, expedite handling and notify the account manager once it ships.",
ORD00037,Pioneer Holdings,Toronto,North America,Istanbul,Sydney,2026-09-12 12:53:59,10,Delivered,Standard,6030.75,"Fragile items on this order, add extra padding and mark the box clearly.",
ORD00038,Evergreen Group,Paris,Europe,Paris,Mexico City,2026-08-14 11:41:13,20,Delivered,Express,5883.94,,
ORD00039,Keystone Partners,Tokyo,Asia Pacific,Sao Paulo,Riyadh,2026-10-05 15:18:41,30,Processing,Express,17770.86,"VIP account, expedite handling and notify the account manager once it ships.",
ORD00040,Summit Commerce,Riyadh,Middle East,New York,New York,2026-02-20 11:29:04,40,Delivered,Standard,4904.6,"Partial backorder is possible, keep the customer updated on remaining stock.",
ORD00042,Apex Group,Los Angeles,North America,Mexico City,Paris,2026-01-15 15:35:06,20,Delivered,Express,5522.08,Customer requested delivery before noon; confirm the slot by phone the day before.,
ORD00045,Pinnacle Commerce,London,Europe,Buenos Aires,Buenos Aires,2026-05-26 11:31:01,10,Delivered,Express,10303.25,"VIP account, expedite handling and notify the account manager once it ships.",
ORD00046,Pinnacle Distribution,Sydney,Asia Pacific,Toronto,Cairo,2026-08-21 12:03:03,20,Delivered,Express,4136.04,"Partial backorder is possible, keep the customer updated on remaining stock.",
ORD00049,Vertex Supply,Chicago,North America,Los Angeles,Madrid,2026-07-18 11:52:39,10,Delivered,Standard,11664.84,"Fragile items on this order, add extra padding and mark the box clearly.",
ORD00053,Horizon Logistics,Mexico City,Latin America,Sydney,Istanbul,2026-06-06 15:31:45,10,Delivered,Express,3556.39,,
ORD00055,Cascade Group,Mexico City,Latin America,Berlin,Berlin,2026-08-16 16:14:46,30,Delivered,Express,3825.07,"Fragile items on this order, add extra padding and mark the box clearly.",
ORD00056,Fusion Distribution,Sao Paulo,Latin America,Mumbai,Amsterdam,2026-09-27 19:53:24,40,Delivered,Standard,764.16,,
ORD00058,Evergreen Group,Paris,Europe,Paris,Mexico City,2026-09-19 14:55:54,20,Delivered,Standard,6316.57,"Partial backorder is possible, keep the customer updated on remaining stock.",
ORD00065,Fusion Logistics,Tokyo,Asia Pacific,Buenos Aires,Buenos Aires,2026-07-06 11:59:35,10,Delivered,Standard,7229.05,,
ORD00067,Vanguard Holdings,Toronto,North America,Tokyo,Chicago,2026-02-28 12:45:30,30,Delivered,Standard,12408.14,"Fragile items on this order, add extra padding and mark the box clearly.",
ORD00068,Nova Partners,New York,North America,Dubai,London,2026-10-31 14:30:41,40,Delivered,Express,7199.38,,
ORD00071,Keystone Commerce,Mumbai,Asia Pacific,Riyadh,Sao Paulo,2026-09-10 08:59:21,30,Delivered,Express,1012.44,,
ORD00074,Pioneer Holdings,Toronto,North America,Cairo,Toronto,2026-02-20 13:32:20,20,Delivered,Standard,11920.11,,
ORD00076,Fusion Distribution,Sao Paulo,Latin America,Mumbai,Amsterdam,2026-08-10 07:16:41,40,Delivered,Standard,654.05,"Partial backorder is possible, keep the customer updated on remaining stock.",
ORD00079,Vertex Distribution,Buenos Aires,Latin America,Sao Paulo,Riyadh,2026-04-11 18:38:23,30,Delivered,Express,2367.52,"Fragile items on this order, add extra padding and mark the box clearly.",
ORD00080,Horizon Supply,Madrid,Europe,New York,New York,2026-09-03 19:05:33,40,Delivered,Express,2051.61,,
