CustomerID,CustomerName,Segment,AddressID,AccountManager,PaymentTerms,hash_key,source_id
1001,Meridian Group,Mid-Market,1.0,Sarah Lin,Net 30,40181c6e9a8cfa3c5283aac7bc0a6a5d,SAP-200000
1002,Cascade Industries,Enterprise,2.0,Tom Reyes,Net 60,d248a9a7ac1aa554c3c75611ffe3fa49,SAP-200001
1003,Nova Retail,Mid-Market,3.0,Mei Chen,Net 15,7135f221a6c9537f84dad06a7872bdeb,SAP-200002
1004,Catalyst Industries,Mid-Market,4.0,David Park,Prepaid,5913f9d3785299f4175ba98df8140102,SAP-200003
1005,Cascade Commerce,Mid-Market,5.0,Omar Khan,Net 30,6961929e546e035a292bd156db946570,SAP-200004
1006,Quantum Logistics,SMB,6.0,Sarah Lin,Net 60,0964fbbf8cd321b0c2b01cfdd045dd1c,SAP-200005
1007,Vanguard Holdings,Mid-Market,7.0,Tom Reyes,Net 15,6778043bc5c5b37af85e06a11dad09b2,SAP-200006
1008,Catalyst Distribution,SMB,8.0,Mei Chen,Prepaid,300568d20de051a669ca97d2764414fd,SAP-200007
1009,Keystone Distribution,SMB,9.0,David Park,Net 30,0d366dfcc28ebd7071299889a01ac992,SAP-200008
1010,Vertex Distribution,Enterprise,10.0,Omar Khan,Net 60,7c16128db2c08394e17f29e170286046,SAP-200009
1011,Atlas Industries,Enterprise,11.0,Sarah Lin,Net 15,8d03c91e4f8d5238288b78b5b5b453ca,SAP-200010
1012,Apex Commerce,Enterprise,12.0,Tom Reyes,Prepaid,1d0bc9bde9b5c5cfd7665cdafe049059,SAP-200011
1013,Fusion Logistics,Mid-Market,13.0,Mei Chen,Net 30,4ab7706eb77350caeec259dc7f95897c,SAP-200012
1014,Pinnacle Distribution,SMB,14.0,David Park,Net 60,74eff5453e65260378e3654bfaf14ff0,SAP-200013
1015,Meridian Commerce,SMB,15.0,Omar Khan,Net 15,dd30de8922f235f2e11b868dbf0d073d,SAP-200014
1016,Summit Commerce,Enterprise,16.0,Sarah Lin,Prepaid,81fb18b3c9a7d91fef2ae71357021049,SAP-200015
