OrderID,CustomerName,CustomerCity,RegionName,ShipToCity,BillToCity,OrderDate,OrderChannel,Status,Priority,OrderTotal,OrderNotes,OrderYear,CustomerID
ORD00005,Momentum Holdings,Berlin,Europe,Buenos Aires,Buenos Aires,2025-04-12,10,Shipped,Standard,8071.84,,2025,1021
ORD00007,Pioneer Holdings,Toronto,North America,Tokyo,Chicago,2025-03-23,30,Shipped,Express,11223.66,"Fragile items on this order, add extra padding and mark the box clearly.",2025,1058
ORD00008,Summit Commerce,Riyadh,Middle East,Dubai,London,2025-11-05,40,Delivered,Express,18761.36,,2025,1016
ORD00010,Beacon Group,Cairo,Middle East,Singapore,Singapore,2025-12-28,20,Delivered,Standard,6702.64,"Partial backorder is possible, keep the customer updated on remaining stock.",2025,1040
ORD00014,Evergreen Partners,Amsterdam,Europe,Cairo,Toronto,2025-12-13,20,Delivered,Express,2182.41,,2025,1035
ORD00017,Atlas Holdings,Madrid,Europe,Istanbul,Sydney,2025-12-06,10,Delivered,Express,12057.09,,2025,1056
ORD00019,Quantum Distribution,Berlin,Europe,Sao Paulo,Riyadh,2025-03-26,30,Delivered,Standard,7412.85,"Fragile items on this order, add extra padding and mark the box clearly.",2025,1052
ORD00020,Vanguard Holdings,Toronto,North America,New York,New York,2025-03-23,40,Delivered,Express,12442.74,,2025,1007
ORD00021,Vertex Supply,Chicago,North America,Madrid,Los Angeles,2025-02-13,10,Delivered,Express,1696.4,"VIP account, expedite handling and notify the account manager once it ships.",2025,1029
ORD00025,Keystone Commerce,Mumbai,Asia Pacific,Buenos Aires,Buenos Aires,2025-05-21,10,Delivered,Express,3367.5,"Fragile items on this order, add extra padding and mark the box clearly.",2025,1037
ORD00026,Orbit Holdings,Istanbul,Middle East,Toronto,Cairo,2025-07-10,20,Shipped,Standard,4781.84,,2025,1048
ORD00028,Pioneer Partners,Buenos Aires,Latin America,Dubai,London,2025-03-17,40,Delivered,Standard,7760.81,"Partial backorder is possible, keep the customer updated on remaining stock.",2025,1055
ORD00030,Meridian Commerce,Dubai,Middle East,Singapore,Singapore,2025-05-05,20,Delivered,Express,7254.16,Customer requested delivery before noon; confirm the slot by phone the day before.,2025,1015
ORD00034,Quantum Supply,Amsterdam,Europe,Cairo,Toronto,2025-02-26,20,Delivered,Standard,953.7,"Partial backorder is possible, keep the customer updated on remaining stock.",2025,1059
ORD00035,Momentum Group,Berlin,Europe,Berlin,Berlin,2025-10-18,30,Delivered,Express,727.47,,2025,1034
ORD00036,Evergreen Partners,Amsterdam,Europe,Mumbai,Amsterdam,2025-04-06,40,Delivered,Standard,9698.77,Customer requested delivery before noon; confirm the slot by phone the day before.,2025,1035
ORD00041,Pinnacle Commerce,London,Europe,Madrid,Los Angeles,2025-07-28,10,Delivered,Express,3884.28,,2025,1030
ORD00043,Summit Commerce,Riyadh,Middle East,Chicago,Tokyo,2025-05-25,30,Processing,Express,3410.34,"Fragile items on this order, add extra padding and mark the box clearly.",2025,1016
ORD00044,Summit Commerce,Riyadh,Middle East,Amsterdam,Mumbai,2025-06-13,40,Delivered,Standard,2526.1,,2025,1016
ORD00047,Pioneer Partners,Buenos Aires,Latin America,Tokyo,Chicago,2025-04-21,30,Delivered,Express,3637.35,,2025,1055
ORD00048,Zenith Holdings,Sydney,Asia Pacific,Dubai,London,2025-02-22,40,Delivered,Express,7709.68,Customer requested delivery before noon; confirm the slot by phone the day before.,2025,1026
ORD00050,Vertex Logistics,Istanbul,Middle East,Singapore,Singapore,2025-12-14,20,Delivered,Express,475.0,,2025,1024
ORD00051,Nova Retail,Sydney,Asia Pacific,Riyadh,Sao Paulo,2025-05-21,30,Delivered,Express,4411.86,"VIP account, expedite handling and notify the account manager once it ships.",2025,1003
ORD00052,Keystone Distribution,Madrid,Europe,London,Dubai,2025-12-02,40,Delivered,Express,2510.9,"Partial backorder is possible, keep the customer updated on remaining stock.",2025,1009
ORD00054,Horizon Supply,Madrid,Europe,Cairo,Toronto,2025-04-23,20,Shipped,Standard,12095.11,Customer requested delivery before noon; confirm the slot by phone the day before.,2025,1044
ORD00057,Catalyst Distribution,Sao Paulo,Latin America,Istanbul,Sydney,2025-07-15,10,Delivered,Express,6507.4,"VIP account, expedite handling and notify the account manager once it ships.",2025,1008
ORD00059,Vanguard Logistics,Los Angeles,North America,Sao Paulo,Riyadh,2025-11-29,30,Delivered,Standard,10298.68,,2025,1036
ORD00060,Evergreen Partners,Amsterdam,Europe,New York,New York,2025-12-29,40,Delivered,Express,10185.01,Customer requested delivery before noon; confirm the slot by phone the day before.,2025,1035
